time,pivot_x,pivot_y,tipA_x,tipA_y,tipB_x,tipB_y,tipC_x,tipC_y,ball1A_x,ball1A_y,ball2A_x,ball2A_y,ball1B_x,ball1B_y,ball2B_x,ball2B_y,ball1C_x,ball1C_y,ball2C_x,ball2C_y
0.0000,0.000000,0.000000,-0.900000,1.558846,1.800000,0.000000,-1.157018,-1.378880,-1.100000,1.905256,-1.300000,2.251666,2.200000,-0.000000,2.600000,-0.000000,-1.414133,-1.685298,-1.671248,-1.991716
0.0100,0.000000,0.000000,-0.900000,1.558846,1.800000,0.000000,-1.157017,-1.378880,-1.100211,1.905134,-1.300212,2.251544,2.200000,-0.000489,2.600000,-0.000491,-1.413891,-1.685501,-1.671005,-1.991919
0.0200,0.000000,0.000000,-0.900004,1.558844,1.800000,0.000004,-1.157014,-1.378883,-1.100835,1.904772,-1.300847,2.251176,2.199995,-0.001938,2.599995,-0.001968,-1.413175,-1.686099,-1.670274,-1.992530
0.0300,0.000000,0.000000,-0.900018,1.558835,1.800000,0.000021,-1.157002,-1.378893,-1.101850,1.904181,-1.301906,2.250559,2.199977,-0.004289,2.599977,-0.004433,-1.412012,-1.687065,-1.669050,-1.993547
0.0400,0.000000,0.000000,-0.900053,1.558815,1.800000,0.000061,-1.156971,-1.378919,-1.103220,1.903378,-1.303391,2.249689,2.199929,-0.007453,2.599929,-0.007895,-1.410445,-1.688356,-1.667327,-1.994969
0.0500,0.000000,0.000000,-0.900120,1.558776,1.800000,0.000139,-1.156911,-1.378969,-1.104897,1.902384,-1.305303,2.248560,2.199836,-0.011311,2.599835,-0.012357,-1.408530,-1.689916,-1.665099,-1.996791
0.0600,0.000000,0.000000,-0.900230,1.558713,1.800000,0.000265,-1.156815,-1.379050,-1.106830,1.901228,-1.307641,2.247169,2.199680,-0.015723,2.599675,-0.017820,-1.406334,-1.691684,-1.662363,-1.999010
0.0700,0.000000,0.000000,-0.900387,1.558622,1.800000,0.000447,-1.156675,-1.379167,-1.108960,1.899939,-1.310402,2.245513,2.199449,-0.020531,2.599432,-0.024277,-1.403929,-1.693596,-1.659121,-2.001617
0.0800,0.000000,0.000000,-0.900594,1.558503,1.800000,0.000686,-1.156492,-1.379321,-1.111230,1.898550,-1.313581,2.243592,2.199137,-0.025574,2.599090,-0.031709,-1.401390,-1.695588,-1.655382,-2.004600
0.0900,0.000000,0.000000,-0.900847,1.558356,1.800000,0.000978,-1.156268,-1.379508,-1.113583,1.897094,-1.317167,2.241410,2.198744,-0.030689,2.598634,-0.040080,-1.398787,-1.697604,-1.651162,-2.007938
0.1000,0.000000,0.000000,-0.901139,1.558187,1.800000,0.001316,-1.156009,-1.379725,-1.115968,1.895602,-1.321142,2.238973,2.198281,-0.035727,2.598049,-0.049336,-1.396186,-1.699593,-1.646486,-2.011602
0.1100,0.000000,0.000000,-0.901462,1.558001,1.799999,0.001688,-1.155724,-1.379965,-1.118341,1.894101,-1.325480,2.236290,2.197762,-0.040556,2.597318,-0.059401,-1.393641,-1.701516,-1.641390,-2.015555
0.1200,0.000000,0.000000,-0.901803,1.557803,1.799999,0.002083,-1.155421,-1.380218,-1.120665,1.892616,-1.330149,2.233374,2.197210,-0.045070,2.596421,-0.070175,-1.391195,-1.703345,-1.635920,-2.019746
0.1300,0.000000,0.000000,-0.902155,1.557599,1.799998,0.002490,-1.155109,-1.380479,-1.122911,1.891166,-1.335108,2.230242,2.196645,-0.049193,2.595336,-0.081533,-1.388876,-1.705061,-1.630130,-2.024117
0.1400,0.000000,0.000000,-0.902511,1.557393,1.799998,0.002901,-1.154794,-1.380743,-1.125061,1.889766,-1.340306,2.226915,2.196089,-0.052881,2.594039,-0.093327,-1.386699,-1.706657,-1.624086,-2.028600
0.1500,0.000000,0.000000,-0.902869,1.557186,1.799997,0.003315,-1.154476,-1.381009,-1.127106,1.888423,-1.345688,2.223418,2.195556,-0.056122,2.592511,-0.105383,-1.384664,-1.708138,-1.617866,-2.033125
0.1600,0.000000,0.000000,-0.903232,1.556975,1.799996,0.003734,-1.154155,-1.381277,-1.129044,1.887140,-1.351190,2.219783,2.195056,-0.058937,2.590744,-0.117514,-1.382763,-1.709513,-1.611558,-2.037618
0.1700,0.000000,0.000000,-0.903604,1.556759,1.799995,0.004165,-1.153824,-1.381553,-1.130883,1.885917,-1.356748,2.216045,2.194590,-0.061370,2.588743,-0.129516,-1.380973,-1.710800,-1.605255,-2.042007
0.1800,0.000000,0.000000,-0.903998,1.556531,1.799994,0.004620,-1.153475,-1.381845,-1.132636,1.884745,-1.362293,2.212247,2.194154,-0.063485,2.586535,-0.141182,-1.379270,-1.712022,-1.599059,-2.046226
0.1900,0.000000,0.000000,-0.904424,1.556283,1.799993,0.005113,-1.153096,-1.382161,-1.134321,1.883617,-1.367757,2.208437,2.193736,-0.065358,2.584172,-0.152306,-1.377622,-1.713202,-1.593076,-2.050218
0.2000,0.000000,0.000000,-0.904895,1.556009,1.799991,0.005658,-1.152678,-1.382510,-1.135963,1.882518,-1.373075,2.204663,2.193325,-0.067064,2.581726,-0.162693,-1.376002,-1.714363,-1.587409,-2.053932
0.2100,0.000000,0.000000,-0.905420,1.555704,1.799989,0.006265,-1.152211,-1.382899,-1.137582,1.881435,-1.378186,2.200981,2.192907,-0.068672,2.579286,-0.172165,-1.374381,-1.715526,-1.582155,-2.057330
0.2200,0.000000,0.000000,-0.906005,1.555364,1.799987,0.006941,-1.151692,-1.383331,-1.139204,1.880353,-1.383034,2.197444,2.192471,-0.070235,2.576953,-0.180567,-1.372739,-1.716706,-1.577403,-2.060380
